Date,Snp,Gold,Oil
2019-02-28,2784.48999,1312.800049,57.220001
2019-03-01,2803.689941,1296.400024,55.799999
2019-03-04,2792.810059,1284.800049,56.59
2019-03-05,2789.649902,1282,56.560001
2019-03-06,2771.449951,1284.900024,56.220001
2019-03-07,2748.929932,1283.800049,56.66
2019-03-08,2743.070068,1297,56.07
2019-03-11,2783.300049,1288.800049,56.790001
2019-03-12,2791.52002,1296.300049,56.869999
2019-03-13,2810.919922,1307.5,58.259998
2019-03-14,2808.47998,1293.400024,58.610001
2019-03-15,2822.47998,1301.800049,58.52
2019-03-18,2832.939941,1300.300049,59.09
2019-03-19,2832.570068,1305,59.029999
2019-03-20,2824.22998,1300.5,59.830002
2019-03-21,2854.879883,1306.099976,59.98
2019-03-22,2800.709961,1311.599976,59.040001
2019-03-25,2798.360107,1321.900024,58.82
2019-03-26,2818.459961,1314.300049,59.939999
2019-03-27,2805.370117,1309.900024,59.41
2019-03-28,2815.439941,1289.800049,59.299999
2019-03-29,2834.399902,1293,60.139999
2019-04-01,2867.189941,1288.400024,61.59
2019-04-02,2867.23999,1290,62.580002
2019-04-03,2873.399902,1289.900024,62.459999
2019-04-04,2879.389893,1289,62.099998
2019-04-05,2892.73999,1290.400024,63.080002
2019-04-08,2895.77002,1297.099976,64.400002
2019-04-09,2878.199951,1303.5,63.98
2019-04-10,2888.209961,1309.099976,64.610001
2019-04-11,2888.320068,1288.599976,63.580002
2019-04-12,2907.409912,1290.599976,63.889999
2019-04-15,2905.580078,1286.800049,63.400002
2019-04-16,2907.060059,1272.599976,64.050003
2019-04-17,2900.449951,1272.199951,63.759998
2019-04-18,2905.030029,1271.900024,64
2019-04-22,2907.969971,1273.5,65.699997
2019-04-23,2933.679932,1269.300049,66.300003
2019-04-24,2927.25,1275.5,65.889999
2019-04-25,2926.169922,1275.800049,65.209999
2019-04-26,2939.879883,1284.900024,63.299999
2019-04-29,2943.030029,1278.599976,63.5
2019-04-30,2945.830078,1282.800049,63.91
2019-05-01,2923.72998,1281.400024,63.599998
2019-05-02,2917.52002,1269.699951,61.810001
2019-05-03,2945.639893,1279.199951,61.939999
2019-05-06,2932.469971,1281.699951,62.25
2019-05-07,2884.050049,1283.5,61.400002
2019-05-08,2879.419922,1279.400024,62.119999
2019-05-09,2870.719971,1283.5,61.700001
2019-05-10,2881.399902,1285.699951,61.66
2019-05-13,2811.870117,1300.099976,61.040001
2019-05-14,2834.409912,1294.699951,61.779999
2019-05-15,2850.959961,1296.300049,62.02
2019-05-16,2876.320068,1285,62.869999
